index,label
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,1
610,1
611,0
612,0
613,1
614,1
615,0
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,1
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,0
669,1
670,0
671,1
672,0
673,1
674,0
675,0
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,0
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,1
721,1
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,0
762,1
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,1
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,0
792,0
793,1
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,0
805,1
806,1
807,0
808,0
809,0
810,0
811,1
812,1
